Tempo,Euler-Ct,Euler-Nt,Runge-Kutta-Ct,Runge-Kutta-Nt,Adams_Bashforth-Ct,Adams_Bashforth-Nt,Adams_Bash_Moulton-Ct,Adams_Bash_Moulton-Nt,Analítica - Ct,Analítica - Nt
0.0,90210290.2097902,155769730.76923075,90210290.2097902,155769730.76923075,93162381.45967269,155450478.66434252,93162381.45967269,155450478.66434252,90210290.2097902,155769730.76923075
0.5,93107862.48251745,155701518.95104894,92237959.76521343,155644426.82661852,93657480.64851977,154995790.08295304,93657480.64851977,154995790.08295304,92243595.90586624,155644832.64968824
1.0,93846729.1120629,155489110.63741258,93162381.45967269,155450478.66434252,93566818.32372536,154537167.52699712,93566818.32372536,154537167.52699712,93167961.8182151,155450880.4650993
1.5,93952255.23559701,155241883.0754353,93543136.67497142,155227749.32128933,93566818.32372536,154537167.52699712,93436503.73485833,154316194.6033151,93547280.52112195,155228047.68096277
2.0,93875147.9444932,154991851.4829011,93657480.64851977,154995790.08295304,93414232.75532633,154295237.67583105,93327119.40444104,154103752.56763265,93660215.869001,154995987.00995955
2.5,93748451.08552366,154748175.57084742,93642725.3931555,154764092.05806178,93261647.1869273,154053307.82466498,93222176.5122963,153900111.0417219,93644417.98232949,154764213.90617132
3.0,93611314.15527391,154513271.26086277,93566818.32372536,154537167.52699712,93109061.61852828,153811377.9734989,93110703.24510726,153703797.02629212,93567823.8195639,154537239.897044
3.5,93475138.53701426,154287572.84049043,93463327.69747865,154317068.43520176,92956476.05012925,153569448.12233284,92998756.03508845,153514941.15453312,93463908.42304562,154317110.21607378
4.0,93343130.16951719,154070940.1852348,93348784.61592188,154104634.49890393,92803890.48173022,153327518.27116677,92889715.64404629,153333488.20223188,93349113.164485,154104658.11848855
4.5,93216079.07364684,153863074.2749066,93231279.22925909,153900111.59521973,92651304.9133312,153085588.4200007,92784168.1202898,153159194.15296003,93231462.19702005,153900124.72927618
5.0,93094067.52135172,153663639.5784752,93114721.67979768,153703458.01556233,92498719.34493217,152843658.56883463,92682288.16798826,152991796.7481172,93114822.30963388,153703465.2181815
