Tempo,Euler-Ct,Euler-Nt,Runge-Kutta-Ct,Runge-Kutta-Nt,Adams_Bashforth-Ct,Adams_Bashforth-Nt
0.0,90210290.2097902,155769730.76923075,90210290.2097902,155769730.76923075,93162381.45967269,155450478.66434252
0.5,93107862.48251745,155701518.95104894,92237959.76521343,155644426.82661852,93657480.64851977,154995790.08295304
1.0,93846729.1120629,155489110.63741258,93162381.45967269,155450478.66434252,93566818.32372536,154537167.52699712
1.5,93952255.23559701,155241883.0754353,93543136.67497142,155227749.32128933,93566818.32372536,154537167.52699712
2.0,93875147.9444932,154991851.4829011,93657480.64851977,154995790.08295304,93414232.75532633,154295237.67583105
2.5,93748451.08552366,154748175.57084742,93642725.3931555,154764092.05806178,93261647.1869273,154053307.82466498
3.0,93611314.15527391,154513271.26086277,93566818.32372536,154537167.52699712,93109061.61852828,153811377.9734989
3.5,93475138.53701426,154287572.84049043,93463327.69747865,154317068.43520176,92956476.05012925,153569448.12233284
4.0,93343130.16951719,154070940.1852348,93348784.61592188,154104634.49890393,92803890.48173022,153327518.27116677
4.5,93216079.07364684,153863074.2749066,93231279.22925909,153900111.59521973,92651304.9133312,153085588.4200007
5.0,93094067.52135172,153663639.5784752,93114721.67979768,153703458.01556233,92498719.34493217,152843658.56883463
5.5,92976974.71401015,153472299.80662286,93000954.07500859,153514496.00491154,92346133.77653314,152601728.71766856
6.0,92864625.7170274,153288728.07285613,92890797.22835794,153332986.6204341,92193548.20813411,152359798.8665025
6.5,92756835.24597609,153112609.5062762,92784569.37370703,153158666.59001794,92040962.63973509,152117869.01533642
7.0,92653420.38035104,152943641.64891464,92682343.14449213,152991266.3441612,91888377.07133606,151875939.16417035
7.5,92554204.10158174,152781534.21340793,92584072.8172776,152830518.7250451,91735791.50293703,151634009.31300429
8.0,92459016.12761754,152626008.66619477,92489657.25129274,152676163.08343506,91583205.934538,151392079.46183822
8.5,92367692.95695141,152476797.77315193,92398970.95800315,152527947.09810054,91430620.36613898,151150149.61067215
9.0,92280077.68718168,152333645.14757285,92311879.37797432,152385627.47470558,91278034.79773995,150908219.75950608
9.5,92196019.77482161,152196304.81173804,92228246.33427596,152248970.097332,91125449.22934093,150666289.90834
10.0,92115374.78531638,152064540.77487957,92147937.61256532,152117749.91643026,90972863.6609419,150424360.05717394
10.5,92038004.14743266,151938126.62786496,92070822.62573361,151991750.71356454,90820278.09254287,150182430.20600787
11.0,91963774.91591224,151816845.15421468,91996775.1334518,151870764.81223583,90667692.52414384,149940500.3548418
11.5,91892559.54325797,151700487.95687693,91925673.49743506,151754592.76884204,90515106.95574482,149698570.50367573
12.0,91824235.66063605,151588855.10014528,91857400.7105991,151643043.06038487,90362521.38734579,149456640.65250966
12.5,91758685.86763029,151481754.76611203,91791844.31801,151535931.7768946,90209935.81894676,149214710.8013436
13.0,91695797.53051963,151379002.9250694,91728896.28791672,151433082.32227218,90057350.25054774,148972780.95017752
13.5,91635462.5887422,151280423.0192927,91668452.86161192,151334325.12514052,89904764.68214871,148730851.09901145
14.0,91577577.36921607,151185845.65966266,91610414.39622849,151239497.3602618,89752179.11374968,148488921.24784538
14.5,91522042.40819888,151095108.33460525,91554685.20732784,151148442.68057397,89599593.54535066,148246991.3966793
